Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
All,20 to 24,Seattle MSA,189.4239980993821,1993,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Native American Male,30 to 34,Seattle MSA,1244.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,0 to 4,United States,442463.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,75 to 79,"Pierce County, WA",69.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,45 to 49,,1419.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,75 to 79,Washington,110.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Male,15 to 19,United States,2351977.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,5 to 9,United States,19390.01831986818,1971,nan,Moodys,National,00,United States,Benchmark
Asian Male,55 to 59,"Pierce County, WA",1849.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,65+,United States,29012.98197242509,1986,nan,Moodys,National,00,United States,Benchmark
Asian Female,0 to 4,,16780.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,65+,"Pierce County, WA",64.03299660464818,1992,nan,Moodys,County,53053,Pierce County,Broad
Hispanic Female,60 to 64,Washington,9647.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,60 to 64,Washington,4162.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,65+,,192.8820403521571,1976,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,60 to 64,Washington,188088.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Male,85+,Washington,39702.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,70 to 74,United States,889340.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,35 to 39,"Pierce County, WA",3070.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,60 to 64,Seattle MSA,9148.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,50 to 54,,6879.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,55 to 59,United States,11232044.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,85+,,54.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,35 to 39,Seattle MSA,96514.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,85+,,708.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,0 to 4,Seattle MSA,7310.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,80 to 84,"Pierce County, WA",238.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Male,85+,,147.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,10 to 14,United States,554535.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Female,40 to 44,Seattle MSA,26333.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Male,45 to 49,"Pierce County, WA",351.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,50 to 54,Seattle MSA,1170.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,20 to 24,Seattle MSA,205.5983033792334,1979,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,15 to 19,,174.32455967913685,1988,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,45 to 49,"Pierce County, WA",465.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Female,70 to 74,Washington,3885.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,30 to 34,Washington,3254.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Male,25 to 29,"Pierce County, WA",2690.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,35 to 39,United States,13600.006204964073,1979,nan,Moodys,National,00,United States,Benchmark
White Female,80 to 84,Washington,59053.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,15 to 19,Seattle MSA,1086.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,50 to 54,Washington,157323.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,45 to 49,United States,22721.588522367816,2006,nan,Moodys,National,00,United States,Benchmark
Black or African American Female,75 to 79,"Pierce County, WA",374.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Male,50 to 54,United States,1212792.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,10 to 14,"Pierce County, WA",4409.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,55 to 59,Seattle MSA,5838.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,50 to 54,,3702.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,45 to 49,Washington,6459.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,45 to 49,Washington,1792.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,10 to 14,Washington,346.05870772690906,1972,nan,Moodys,State,53,Washington,Benchmark
All,50 to 54,Seattle MSA,224.98400014175837,2004,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,35 to 39,Washington,343.32880738200987,1984,nan,Moodys,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,45 to 49,Seattle MSA,1217.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Asian Female,0 to 4,Washington,19228.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,5 to 9,"Pierce County, WA",51.08899622360585,1995,nan,Moodys,County,53053,Pierce County,Broad
Hispanic Male,65 to 69,Seattle MSA,4150.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Asian Male,75 to 79,,3194.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,10 to 14,"Pierce County, WA",6021.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,85+,United States,1077.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,50 to 54,,1276.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,80 to 84,Washington,56275.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native American Female,25 to 29,Washington,3488.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,15 to 19,"Pierce County, WA",505.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,35 to 39,United States,10892543.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,10 to 14,United States,92768.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,0 to 4,"Pierce County, WA",1763.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,25 to 29,Washington,183991.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,65+,,303.9849860873017,1992,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,65 to 69,"Pierce County, WA",113.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,65+,Seattle MSA,295.958983514217,1995,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,5 to 9,Washington,294.19745189295264,1977,nan,Moodys,State,53,Washington,Benchmark
Asian Male,45 to 49,Seattle MSA,13532.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Male,10 to 14,United States,10578418.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,65 to 69,,2404.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,40 to 44,Washington,30619.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,65 to 69,Washington,11372.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,45 to 49,Washington,195.27795169029773,1981,nan,Moodys,State,53,Washington,Benchmark
Multiracial Male,70 to 74,United States,32357.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,75 to 79,United States,4545.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Female,35 to 39,,81654.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,15 to 19,United States,5753351.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Male,70 to 74,United States,332802.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
All,10 to 14,"Pierce County, WA",40.7043553559829,1975,nan,Moodys,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,30 to 34,United States,27467.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,55 to 59,Washington,927.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,65 to 69,Washington,4508.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Male,40 to 44,,96763.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,65 to 69,Seattle MSA,72553.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
All,35 to 39,"Pierce County, WA",59.58199823873095,2000,nan,Moodys,County,53053,Pierce County,Broad
All,30 to 34,"Pierce County, WA",45.99631975495029,1984,nan,Moodys,County,53053,Pierce County,Broad
Asian Female,80 to 84,United States,145537.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,25 to 29,United States,17185.278892728893,1975,nan,Moodys,National,00,United States,Benchmark
Hispanic Male,25 to 29,United States,2277213.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Male,5 to 9,United States,535941.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,45 to 49,Washington,1658.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Female,80 to 84,Seattle MSA,30793.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,35 to 39,Washington,147651.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,55 to 59,"Pierce County, WA",273.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Male,85+,Washington,41439.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,30 to 34,,1858.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,65 to 69,,237.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,70 to 74,"Pierce County, WA",72.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,15 to 19,"Pierce County, WA",492.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Male,50 to 54,"Pierce County, WA",2324.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Female,5 to 9,United States,461806.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,45 to 49,United States,1222384.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,15 to 19,,1358.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,35 to 39,Washington,161194.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,45 to 49,United States,1350343.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,50 to 54,United States,1345040.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Male,0 to 4,United States,5096352.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,80 to 84,United States,309968.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Male,35 to 39,,1256.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,50 to 54,,15760.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,0 to 4,,14101.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,20 to 24,Washington,31708.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,30 to 34,,1767.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,65 to 69,"Pierce County, WA",2305.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Male,40 to 44,,172400.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,30 to 34,"Pierce County, WA",1973.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,25 to 29,United States,2383055.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Multiracial Female,40 to 44,United States,173453.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,60 to 64,United States,15931.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Female,25 to 29,,146465.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,0 to 4,United States,84897.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,5 to 9,Seattle MSA,11874.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Female,75 to 79,,5968.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,40 to 44,"Pierce County, WA",21.750457376634262,1975,nan,Moodys,County,53053,Pierce County,Broad
White Male,15 to 19,Seattle MSA,64408.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,60 to 64,,798.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,65 to 69,"Pierce County, WA",135.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,75 to 79,United States,3677.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,60 to 64,Seattle MSA,2807.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,65 to 69,,74286.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,0 to 4,,119142.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,85+,,2863.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,75 to 79,Washington,3200.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,65 to 69,,64191.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,55 to 59,,102645.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,55 to 59,Washington,242883.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,20 to 24,Seattle MSA,192.0109973142912,1991,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,60 to 64,"Pierce County, WA",758.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,65 to 69,United States,13585.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Female,85+,,40142.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,85+,United States,8038.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,75 to 79,"Pierce County, WA",165.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,55 to 59,,105.73999791751865,1991,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,55 to 59,,10350.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,85+,"Pierce County, WA",934.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Male,50 to 54,United States,491990.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,85+,Washington,281.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Male,85+,"Pierce County, WA",146.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,65 to 69,,55852.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,40 to 44,,23093.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,70 to 74,,615.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,25 to 29,United States,19283.7633984394,2000,nan,Moodys,National,00,United States,Benchmark
Hispanic Male,45 to 49,"Pierce County, WA",2456.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,45 to 49,Seattle MSA,71640.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,5 to 9,Seattle MSA,1164.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,10 to 14,,1645.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,20 to 24,Washington,226690.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
